Strategy,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-05-23 09:34:00,2023-05-23 15:58:00,MCX COPPER,720.1,714.85,7500,-1,39375.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-05-25 09:40:00,2023-05-25 11:56:00,MCX COPPER,701.05,699.8,7500,-1,9375.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-05-25 20:33:00,2023-05-25 23:19:00,MCX COPPER,706.0,704.5,7500,1,-11250.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-05-26 12:49:00,2023-05-26 20:53:00,MCX COPPER,710.7,711.95,7500,1,9375.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-05-29 17:50:00,2023-05-29 23:04:00,MCX COPPER,717.0,715.0,7500,1,-15000.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-05-31 11:15:00,2023-05-31 23:04:00,MCX COPPER,708.6,711.0,7500,-1,-18000.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-06-01 09:37:00,2023-06-01 17:33:00,MCX COPPER,713.5,717.75,7500,1,31875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-06-02 21:57:00,2023-06-02 23:08:00,MCX COPPER,718.8,718.25,7500,-1,4125.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-06-05 09:44:00,2023-06-05 11:17:00,MCX COPPER,716.0,715.75,7500,-1,1875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-06-05 18:05:00,2023-06-05 23:14:00,MCX COPPER,720.8,724.3,7500,1,26250.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-06-06 10:51:00,2023-06-06 12:30:00,MCX COPPER,727.0,723.0,7500,1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-06-07 10:36:00,2023-06-07 16:26:00,MCX COPPER,725.05,728.3,7500,1,24375.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-06-08 09:35:00,2023-06-08 12:39:00,MCX COPPER,722.5,726.5,7500,-1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-06-08 17:40:00,2023-06-08 19:37:00,MCX COPPER,722.5,726.5,7500,-1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-06-09 12:20:00,2023-06-09 14:42:00,MCX COPPER,727.1,728.35,7500,1,9375.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-06-12 13:25:00,2023-06-12 23:01:00,MCX COPPER,721.25,720.5,7500,-1,5625.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-06-14 10:52:00,2023-06-14 23:04:00,MCX COPPER,731.0,733.2,7500,1,16500.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-06-15 19:10:00,2023-06-15 23:02:00,MCX COPPER,736.7,737.45,7500,1,5625.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-06-16 11:38:00,2023-06-16 23:01:00,MCX COPPER,740.0,737.75,7500,1,-16875.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-06-21 09:41:00,2023-06-21 16:18:00,MCX COPPER,737.0,733.0,7500,1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-06-21 17:50:00,2023-06-21 19:01:00,MCX COPPER,730.7,734.7,7500,-1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-06-22 09:31:00,2023-06-22 13:32:00,MCX COPPER,736.45,740.45,7500,-1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-06-23 10:55:00,2023-06-23 12:54:00,MCX COPPER,730.25,726.25,7500,1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-06-26 12:05:00,2023-06-26 13:19:00,MCX COPPER,718.5,718.25,7500,-1,1875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-06-27 11:55:00,2023-06-27 14:40:00,MCX COPPER,722.4,718.4,7500,1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-06-28 17:51:00,2023-06-28 20:36:00,MCX COPPER,711.8,710.55,7500,-1,9375.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-06-29 20:05:00,2023-06-29 23:00:00,MCX COPPER,704.9,704.5,7500,1,-3000.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-06-30 19:10:00,2023-06-30 23:00:00,MCX COPPER,710.9,713.75,7500,1,21375.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-07-03 09:30:00,2023-07-03 23:00:00,MCX COPPER,717.15,717.0,7500,1,-1125.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-07-04 11:20:00,2023-07-04 23:01:00,MCX COPPER,716.05,717.1,7500,-1,-7875.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-07-05 09:25:00,2023-07-05 14:51:00,MCX COPPER,715.65,713.4,7500,-1,16875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-07-05 16:25:00,2023-07-05 18:47:00,MCX COPPER,712.3,716.3,7500,-1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-07-05 22:06:00,2023-07-05 23:00:00,MCX COPPER,717.05,717.0,7500,1,-375.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-07-07 09:55:00,2023-07-07 16:10:00,MCX COPPER,716.2,718.45,7500,1,16875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-07-10 22:15:00,2023-07-10 23:00:00,MCX COPPER,721.75,722.55,7500,1,6000.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-07-11 10:50:00,2023-07-11 17:41:00,MCX COPPER,725.5,721.5,7500,1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-07-12 17:55:00,2023-07-12 23:00:00,MCX COPPER,722.95,728.2,7500,1,39375.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-07-14 10:30:00,2023-07-14 13:00:00,MCX COPPER,740.3,736.3,7500,1,-30000.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-07-17 16:55:00,2023-07-17 23:00:00,MCX COPPER,726.0,726.2,7500,1,1500.0,TimeExit
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-07-18 12:00:00,2023-07-18 13:42:00,MCX COPPER,725.6,724.35,7500,-1,9375.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-07-20 16:10:00,2023-07-20 18:48:00,MCX COPPER,732.3,736.55,7500,1,31875.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-07-21 10:35:00,2023-07-21 12:57:00,MCX COPPER,731.6,732.85,7500,1,9375.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-07-25 13:47:00,2023-07-25 17:04:00,MCX COPPER,731.7,734.95,7500,1,24375.0,StopLoss
MCX_Copper_5m_CCI_ADX_MFI_V28,2023-07-27 13:20:00,2023-07-27 16:18:00,MCX COPPER,743.1,739.1,7500,1,-30000.0,StopLoss
